jobs;mode;heure_debut;heure_fin;type_periodicite;cyclique;cycle;periodicite;mettre_application_en_erreur;ne_pas_deplanifier;attendre_avant_deplanification;heure_deplanification;bloquer_la_date;rattrapage_type;duree_max;retenu;demande;script;parametres;modjobs;liens_amon;liens_aval
ALIM_FACTU/ALIM_FACT_GRC/OU_1000;simu;20:00:00;21:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/ALIM_FACT_GRC/declaratif[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/regle_simple[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/groupage_tarif[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/remboursement[vaer:61-255],ALIM_FACTU/ALIM_FACT_GRC/compteur[vaer:61-255];ALIM_FACTU/ALIM_FACT_GRC/HALT1000[obli]

ALIM_FACTU/DF/fictif;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/fictif.sh;#NOM?;;;ALIM_FACTU/DF/HALT9[vaer:61-255],ALIM_FACTU/DF/Warning9[vaer:1-60]

ALIM_FACTU/DF/Warning9;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;non;oui;non;;non;manual;non;non;non;;.;;ALIM_FACTU/DF/fictif[vaer:1-60];

ALIM_FACTU/DF/HALT9;exec;20:00:00;30:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/DF/fictif[vaer:61-255];

ALIM_FACTU/PM/poids;exec;31:00:00;31:05:00;periodique;non;00:00:00;journaliere;non;non;non;;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/poid.sh;#NOM?;;;ALIM_FACTU/PM/Warning10[vaer:1-60],ALIM_FACTU/PM/HALT10[vaer:61-255]

ALIM_FACTU/PM/Warning10;exec;31:00:00;31:05:00;periodique;non;00:00:00;journaliere;non;oui;non;;non;manual;non;non;non;;.;;ALIM_FACTU/PM/poids[vaer:1-60];

ALIM_FACTU/PM/HALT10;exec;31:00:00;31:05:00;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/PM/poids[vaer:61-255];

ALIM_FACTU/SUIVI_MIG_NEHO/SUIVI_MIG_NEHO;exec;00:00:00;24:00:00;demande;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/import_suivi_contrat_neho.sh;#NOM?;;;

ALIM_FACTU/REPRISE_EAI/reprise_eai;exec;00:00:00;24:00:00;demande;non;00:00:00;journaliere;oui;non;non;;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/reprise_eai.sh;#NOM?;;;

ALIM_FACTU/COLL_GRC/OU_19;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/COLL_GRC/collecte_rembour[vaob:0],ALIM_FACTU/COLL_GRC/Warning_19[obli];

ALIM_FACTU/COLL_GRC/collecte_rembour;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/alimfactu/CAF/moteur/scripts/collecte_remboursement.sh;#NOM?;;;ALIM_FACTU/COLL_GRC/OU_19[vaob:0],ALIM_FACTU/COLL_GRC/HALT1000[vaer:61-255],ALIM_FACTU/COLL_GRC/Warning_19[vaer:1-60]

ALIM_FACTU/COLL_GRC/Warning_19;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;ALIM_FACTU/COLL_GRC/collecte_rembour[vaer:1-60];ALIM_FACTU/COLL_GRC/OU_19[obli]

ALIM_FACTU/COLL_GRC/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;oui;00:00:00.;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;ALIM_FACTU/COLL_GRC/collecte_rembour[vaer:61-255];

SI_FACTU/DEMONS/chr_alert;exec;00:00:00;32:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_alert.sh;.;;;

SI_FACTU/STATISTIQUES/buildstats;exec;24:30:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_buildstats.sh;.;;;

SI_FACTU/STATS_ORACLE/stats_BILL;exec;18:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_oracle_stats.sh;#NOM?;;;

SI_FACTU/STATS_ORACLE/stats_RATING;exec;18:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_oracle_stats.sh;#NOM?;;;

SI_FACTU/STATS_ORACLE/stats_BART;exec;18:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_oracle_stats.sh;#NOM?;;;

SI_FACTU/STATS_ORACLE/stats_CHRONO;exec;18:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_oracle_stats.sh;#NOM?;;;

SI_FACTU/PURGES/purge_files;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_purge_files.sh;.;;;

SI_FACTU/PURGES/purge_schema_chr;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_purge_schema_chrono.sh;396 all.;;;

SI_FACTU/PURGES/BART_bdd_purge;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_manage_bdd.sh;#NOM?;;;SI_FACTU/PURGES/BART_bdd_create[obli]

SI_FACTU/PURGES/BART_bdd_create;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_manage_bdd.sh;#NOM?;;SI_FACTU/PURGES/BART_bdd_purge[obli];

SI_FACTU/PURGES/BILLING_bdd_purg;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_manage_bdd.sh;#NOM?;;;SI_FACTU/PURGES/BILLING_bdd_crea[obli]

SI_FACTU/PURGES/BILLING_bdd_crea;exec;19:00:00;19:30:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_manage_bdd.sh;#NOM?;;SI_FACTU/PURGES/BILLING_bdd_purg[obli];

SI_FACTU/DECLARATIFS/declaratif;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_extraction_declaratifs.sh;.;;;

SI_FACTU/REVALORISATION/revalorisation;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_revalorisation.sh;revalo.;;;

SI_FACTU/ETAT_DECLARATIF/extract_decision;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_extract_decisionnel.sh;start.;;;

SI_FACTU/ETAT_DECLARATIF/etat_declaratif;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_etat_declaratif.sh;extract.;;;SI_FACTU/ETAT_DECLARATIF/HALT1000[vaer:61-255],SI_FACTU/ETAT_DECLARATIF/OU_34[vaob:0],SI_FACTU/ETAT_DECLARATIF/Warning34[vaer:1-60]

SI_FACTU/ETAT_DECLARATIF/etat_decl_loader;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_etat_declaratif_loader.sh;.;;SI_FACTU/ETAT_DECLARATIF/OU_34[obli];

SI_FACTU/ETAT_DECLARATIF/Warning34;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ETAT_DECLARATIF/etat_declaratif[vaer:1-60];SI_FACTU/ETAT_DECLARATIF/OU_34[obli]

SI_FACTU/ETAT_DECLARATIF/OU_34;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ETAT_DECLARATIF/Warning34[obli],SI_FACTU/ETAT_DECLARATIF/etat_declaratif[vaob:0];SI_FACTU/ETAT_DECLARATIF/etat_decl_loader[obli]

SI_FACTU/ETAT_DECLARATIF/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;SI_FACTU/ETAT_DECLARATIF/etat_declaratif[vaer:61-255];

SI_FACTU/CLOTURE_FACTURE/validation_piece;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_validation_pieces_comptables.sh;.;;;

SI_FACTU/REVALO_RECALCUL/revalorisation;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_revalorisation.sh;cloture.;;;SI_FACTU/REVALO_RECALCUL/recalcul_pieces[obli]

SI_FACTU/REVALO_RECALCUL/recalcul_pieces;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_recalcul_pieces_comptables.sh;cloture.;;SI_FACTU/REVALO_RECALCUL/revalorisation[obli];SI_FACTU/REVALO_RECALCUL/extraction_piece[obli]

SI_FACTU/REVALO_RECALCUL/extraction_piece;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_extraction_pieces_comptables.sh;.;;SI_FACTU/REVALO_RECALCUL/recalcul_pieces[obli];SI_FACTU/REVALO_RECALCUL/diffusion_pieces[obli]

SI_FACTU/REVALO_RECALCUL/diffusion_pieces;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_diffusion_pieces_comptables.sh;.;;SI_FACTU/REVALO_RECALCUL/extraction_piece[obli];

SI_FACTU/RECYCLAGE_FACTU/gen_recyclage;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_generation_periodique.sh;recyclage.;;;

SI_FACTU/RAPPORT_DE_REJET/reject;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_reject.sh;{date_SI_FACTU} {date_SI_FACTU}.;;;

SI_FACTU/MIGRATION/indicateur_migr;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_indicateurs_migration.sh;-d {date_SI_FACTU}.;;;

SI_FACTU/DEVEROUILLAGE/unlock_subs;exec;00:00:00;24:00:00;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_unlocks_subs.sh;.;;;

SI_FACTU/RAPPORTS/rapport;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_valo_reporter.sh;.;;;

SI_FACTU/EDITIQUE/editique;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;non;non;oui;00:00:10.;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_editique.sh;#NOM?;;;SI_FACTU/EDITIQUE/HALT1000[vaer:61-255],SI_FACTU/EDITIQUE/OU_31[vaob:0],SI_FACTU/EDITIQUE/Warning31[vaer:1-60]

SI_FACTU/EDITIQUE/agreg_editique;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_agregation_editique.sh;#NOM?;;SI_FACTU/EDITIQUE/OU_31[obli];

SI_FACTU/EDITIQUE/Warning31;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/EDITIQUE/editique[vaer:1-60];SI_FACTU/EDITIQUE/OU_31[obli]

SI_FACTU/EDITIQUE/OU_31;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/EDITIQUE/editique[vaob:0],SI_FACTU/EDITIQUE/Warning31[obli];SI_FACTU/EDITIQUE/agreg_editique[obli]

SI_FACTU/EDITIQUE/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;SI_FACTU/EDITIQUE/editique[vaer:61-255];

SI_FACTU/FACTU_PERIODI_1/gen_periodique;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_generation_periodique.sh;.;;;SI_FACTU/FACTU_PERIODI_1/Warning14[vaer:1-60],SI_FACTU/FACTU_PERIODI_1/OU_14[vaob:0],SI_FACTU/FACTU_PERIODI_1/HALT1000[vaer:61-255]

SI_FACTU/FACTU_PERIODI_1/Warning14;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;oui;manual;non;non;non;;.;;SI_FACTU/FACTU_PERIODI_1/gen_periodique[vaer:1-60];SI_FACTU/FACTU_PERIODI_1/OU_14[obli]

SI_FACTU/FACTU_PERIODI_1/OU_14;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/FACTU_PERIODI_1/gen_periodique[vaob:0],SI_FACTU/FACTU_PERIODI_1/Warning14[obli];

SI_FACTU/FACTU_PERIODI_1/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;SI_FACTU/FACTU_PERIODI_1/gen_periodique[vaer:61-255];

SI_FACTU/REMBOURSEMENTS/gen_remboursemts;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_generation_pieces_comptables_remboursements.sh;.;;;

SI_FACTU/ACQUISITION_VALO/async_fic_fam_A;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_acquisition_async_fic_fam_A.sh;.;;;SI_FACTU/ACQUISITION_VALO/OU_1000[vaer:61-255],SI_FACTU/ACQUISITION_VALO/Warning1[vaer:1-60],SI_FACTU/ACQUISITION_VALO/OU_1[vaob:0]

SI_FACTU/ACQUISITION_VALO/Warning7;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_C[vaer:1-60];SI_FACTU/ACQUISITION_VALO/OU_7[obli]

SI_FACTU/ACQUISITION_VALO/Warning3;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_G[vaer:1-60];SI_FACTU/ACQUISITION_VALO/OU_3[obli]

SI_FACTU/ACQUISITION_VALO/OU_2;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/Warning2[obli],SI_FACTU/ACQUISITION_VALO/async_fic_fam_B[vaob:0];SI_FACTU/ACQUISITION_VALO/valorisation_2[obli]

SI_FACTU/ACQUISITION_VALO/Warning2;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_B[vaer:1-60];SI_FACTU/ACQUISITION_VALO/OU_2[obli]

SI_FACTU/ACQUISITION_VALO/OU_7;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_C[vaob:0],SI_FACTU/ACQUISITION_VALO/Warning7[obli];SI_FACTU/ACQUISITION_VALO/valorisation_3[obli]

SI_FACTU/ACQUISITION_VALO/valorisation_2;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_valorisation.sh;.;;SI_FACTU/ACQUISITION_VALO/OU_2[obli];SI_FACTU/ACQUISITION_VALO/async_fic_fam_G[obli]

SI_FACTU/ACQUISITION_VALO/OU_3;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/Warning3[obli],SI_FACTU/ACQUISITION_VALO/async_fic_fam_G[vaob:0];SI_FACTU/ACQUISITION_VALO/async_fic_fam_C[obli]

SI_FACTU/ACQUISITION_VALO/Warning1;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_A[vaer:1-60];SI_FACTU/ACQUISITION_VALO/OU_1[obli]

SI_FACTU/ACQUISITION_VALO/OU_1;simu;19:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/Warning1[obli],SI_FACTU/ACQUISITION_VALO/async_fic_fam_A[vaob:0];SI_FACTU/ACQUISITION_VALO/valorisation_1[obli]

SI_FACTU/ACQUISITION_VALO/async_fic_fam_G;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_acquisition_async_fic_fam_G.sh;.;;SI_FACTU/ACQUISITION_VALO/valorisation_2[obli];SI_FACTU/ACQUISITION_VALO/OU_1000[vaer:61-255],SI_FACTU/ACQUISITION_VALO/Warning3[vaer:1-60],SI_FACTU/ACQUISITION_VALO/OU_3[vaob:0]

SI_FACTU/ACQUISITION_VALO/valorisation_3;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_valorisation.sh;.;;SI_FACTU/ACQUISITION_VALO/OU_7[obli];

SI_FACTU/ACQUISITION_VALO/async_fic_fam_C;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_acquisition_async_fic_fam_C.sh;.;;SI_FACTU/ACQUISITION_VALO/OU_3[obli];SI_FACTU/ACQUISITION_VALO/OU_1000[vaer:61-255],SI_FACTU/ACQUISITION_VALO/OU_7[vaob:0],SI_FACTU/ACQUISITION_VALO/Warning7[vaer:1-60]

SI_FACTU/ACQUISITION_VALO/valorisation_1;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_valorisation.sh;.;;SI_FACTU/ACQUISITION_VALO/OU_1[obli];SI_FACTU/ACQUISITION_VALO/async_fic_fam_B[obli]

SI_FACTU/ACQUISITION_VALO/async_fic_fam_B;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_acquisition_async_fic_fam_B.sh;.;;SI_FACTU/ACQUISITION_VALO/valorisation_1[obli];SI_FACTU/ACQUISITION_VALO/OU_1000[vaer:61-255],SI_FACTU/ACQUISITION_VALO/Warning2[vaer:1-60],SI_FACTU/ACQUISITION_VALO/OU_2[vaob:0]

SI_FACTU/ACQUISITION_VALO/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;SI_FACTU/ACQUISITION_VALO/OU_1000[obli];

SI_FACTU/ACQUISITION_VALO/OU_1000;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/ACQUISITION_VALO/async_fic_fam_B[vaer:61-255],SI_FACTU/ACQUISITION_VALO/async_fic_fam_A[vaer:61-255],SI_FACTU/ACQUISITION_VALO/async_fic_fam_G[vaer:61-255],SI_FACTU/ACQUISITION_VALO/async_fic_fam_C[vaer:61-255];SI_FACTU/ACQUISITION_VALO/HALT1000[obli]

SI_FACTU/FACTU_PERIODI_2/OU_35;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;non;manual;non;non;non;;.;;SI_FACTU/FACTU_PERIODI_2/Warning35[obli],SI_FACTU/FACTU_PERIODI_2/gen_operations[vaob:0];SI_FACTU/FACTU_PERIODI_2/extraction_piece[obli]

SI_FACTU/FACTU_PERIODI_2/Warning35;simu;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;non;non;oui;00:00:10.;oui;manual;non;non;non;;.;;SI_FACTU/FACTU_PERIODI_2/gen_operations[vaer:1-60];SI_FACTU/FACTU_PERIODI_2/OU_35[obli]

SI_FACTU/FACTU_PERIODI_2/gen_operations;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;non;non;oui;00:00:10.;non;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_generation_operations_de_compte.sh;.;;;SI_FACTU/FACTU_PERIODI_2/Warning35[vaer:1-60],SI_FACTU/FACTU_PERIODI_2/OU_35[vaob:0],SI_FACTU/FACTU_PERIODI_2/HALT1000[vaer:61-255]

SI_FACTU/FACTU_PERIODI_2/extraction_piece;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;oui;non;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_extraction_pieces_comptables.sh;.;;SI_FACTU/FACTU_PERIODI_2/OU_35[obli];SI_FACTU/FACTU_PERIODI_2/diffusion_pieces[obli]

SI_FACTU/FACTU_PERIODI_2/diffusion_pieces;exec;20:00:00;23:59:59;periodique;non;00:00:00;mensuel;oui;oui;non;;oui;manual;non;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_diffusion_pieces_comptables.sh;.;;SI_FACTU/FACTU_PERIODI_2/extraction_piece[obli];

SI_FACTU/FACTU_PERIODI_2/HALT1000;exec;20:00:00;23:59:59;periodique;non;00:00:00;journaliere;oui;non;non;;oui;manual;non;non;non;/opt/vtom/scripts/ko.sh;.;;SI_FACTU/FACTU_PERIODI_2/gen_operations[vaer:61-255]

FACTU_test/PURGES/purge_schema_chr;exec;00:00:00;19:30:00;demande;non;00:00:00;journaliere;oui;non;non;;oui;manual;00:15:00;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_purge_schema_chrono.sh;396 all.;;

FACTU_test/PURGES/purge_files;exec;00:00:00;19:30:00;demande;non;00:00:00;journaliere;oui;non;non;;oui;manual;00:15:00;non;non;/opt/sifactu/applications/chronofactu/scripts/chr_purge_files.sh;.;;
