ENV/APP/JOB;MACHINE;USER;BEGIN;END;ELAPSE;STATUS
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_LOC_TEMP;smapx251;vp_mof;21-07-2010 03:00:01;21-07-2010 04:02:12;1:02:11;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/ENG_TEMP;smapx251;vp_mof;21-07-2010 04:02:13;21-07-2010 04:55:46;0:53:33;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/REMB_TEMP;smapx251;vp_mof;21-07-2010 19:00:01;21-07-2010 19:26:21;0:26:20;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/MAIL_REJET;smapx251;vp_mof;21-07-2010 19:26:22;21-07-2010 19:27:27;0:01:05;TERMINE
MIDDLE_OFFICE/MOF_AIDA_ENGTEMP/PURGE_MAIL;smapx251;vp_mof;21-07-2010 19:27:27;21-07-2010 19:27:32;0:00:05;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/MOF_TIERS_ANTIOP;smapx251;vp_mof;21-07-2010 19:30:00;21-07-2010 19:32:00;0:02:00;TERMINE
MIDDLE_OFFICE/ANT_TRS_MOF/PURGE_MOF_ANTIOP;smapx251;vp_mof;21-07-2010 19:32:00;21-07-2010 19:32:05;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_TIERS;smapx251;vp_mof;21-07-2010 19:32:06;21-07-2010 19:33:32;0:01:26;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_RIB;smapx251;vp_mof;21-07-2010 19:33:32;21-07-2010 19:33:52;0:00:20;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_AIDA;smapx251;vp_mof;21-07-2010 19:33:52;21-07-2010 19:34:17;0:00:25;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRS_PAI;smapx251;vp_mof;21-07-2010 19:34:17;21-07-2010 19:34:32;0:00:15;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/MOF_REJ_TRSAS400;smapx251;vp_mof;21-07-2010 19:34:32;21-07-2010 19:34:47;0:00:15;TERMINE
MIDDLE_OFFICE/MOF_INSERT_TIERS/PURG_REJET_TRS;smapx251;vp_mof;21-07-2010 19:34:47;21-07-2010 19:35:02;0:00:15;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/tiers_arcole;smapx251;vp_ares;21-07-2010 20:00:01;21-07-2010 20:02:31;0:02:30;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/insert_tiers;imapora2;vp_ares;21-07-2010 20:02:32;21-07-2010 20:03:36;0:01:04;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/MAJ_FIN;smapx251;vp_ares;21-07-2010 20:03:37;21-07-2010 20:04:08;0:00:31;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/envoi_rejets;smapx251;vp_ares;21-07-2010 20:04:08;21-07-2010 20:04:13;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_MOF/PURGE_TIERS_MOF;smapx251;vp_ares;21-07-2010 20:04:13;21-07-2010 20:04:18;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_ENGAGEMENT/INSERT_ENGAG;imapora2;vp_mof;21-07-2010 19:35:03;21-07-2010 19:58:06;0:23:03;TERMINE
MIDDLE_OFFICE/MOF_VERIF_ENGAG/VERIF_ENGAG;smapx251;vp_mof;21-07-2010 19:58:06;21-07-2010 20:10:36;0:12:30;TERMINE
MIDDLE_OFFICE/MOF_INS_BACKOFF/insert_backoff;imapora2;vp_mof;21-07-2010 19:58:06;21-07-2010 20:03:58;0:05:52;TERMINE
MIDDLE_OFFICE/MOF_INS_EDISTOCK/INSERT_EDI_STOCK;imapora2;vp_mof;21-07-2010 20:03:58;21-07-2010 20:04:03;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;21-07-2010 20:04:03;21-07-2010 20:04:08;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:04:08;21-07-2010 20:05:03;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:05:03;21-07-2010 20:05:03;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;21-07-2010 20:04:33;21-07-2010 20:05:08;0:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;21-07-2010 20:05:08;21-07-2010 20:05:43;0:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_start;smapx251;vtom43;21-07-2010 20:05:43;21-07-2010 20:05:48;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;21-07-2010 20:05:48;21-07-2010 20:05:53;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:30:02;21-07-2010 20:30:56;0:00:54;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:31:02;21-07-2010 20:31:02;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_stopint;smapx251;vtom43;21-07-2010 20:30:03;21-07-2010 20:31:46;0:01:43;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;21-07-2010 20:31:46;21-07-2010 20:31:51;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;21-07-2010 20:31:51;21-07-2010 20:31:56;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;21-07-2010 20:31:57;21-07-2010 20:32:01;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:30:03;21-07-2010 20:33:33;0:03:30;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:33:34;21-07-2010 20:36:50;0:03:16;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:36:51;21-07-2010 20:39:51;0:03:00;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:39:52;21-07-2010 20:42:48;0:02:56;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:42:48;21-07-2010 20:43:48;0:01:00;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:43:48;21-07-2010 20:44:39;0:00:51;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_charg;imapora2;vp_mof;21-07-2010 20:44:39;21-07-2010 20:44:39;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI/mof_edi_stopint;smapx251;vtom43;21-07-2010 20:44:07;21-07-2010 20:44:44;0:00:37;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_suppflag;imapora2;vp_mof;21-07-2010 20:44:44;21-07-2010 20:45:14;0:00:30;TERMINE
MIDDLE_OFFICE/MOF_EDI/mof_edi_startint;smapx251;vtom43;21-07-2010 20:45:15;21-07-2010 20:45:20;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI/purge_arch;imapora2;vp_mof;21-07-2010 20:45:20;21-07-2010 20:45:26;0:00:06;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/MV_FICH_SOURCE;imapora2;vp_mof;21-07-2010 20:04:03;21-07-2010 20:04:08;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:04:08;21-07-2010 20:05:03;0:00:55;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:05:03;21-07-2010 20:05:03;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_stop;smapx251;vtom43;21-07-2010 20:04:33;21-07-2010 20:05:08;0:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/suppr_flag;imapora2;vp_mof;21-07-2010 20:05:08;21-07-2010 20:05:43;0:00:35;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF/edi_sncf_start;smapx251;vtom43;21-07-2010 20:05:43;21-07-2010 20:05:48;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;21-07-2010 20:05:48;21-07-2010 20:05:53;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_SNCF_EXP/EXTRACT_EDISNCF;imapora2;vp_mof;21-07-2010 20:05:48;21-07-2010 20:05:53;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:30:02;21-07-2010 20:30:56;0:00:54;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_charg;imapora2;vp_mof;21-07-2010 20:31:02;21-07-2010 20:31:02;0:00:00;NON-PLANIFIE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/edi_sncf_stopint;smapx251;vtom43;21-07-2010 20:30:03;21-07-2010 20:31:46;0:01:43;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_suppflag;imapora2;vp_mof;21-07-2010 20:31:46;21-07-2010 20:31:51;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/mof_edi_startint;smapx251;vtom43;21-07-2010 20:31:51;21-07-2010 20:31:56;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_EDI_INS_SNCF/purge_arch;imapora2;vp_mof;21-07-2010 20:31:57;21-07-2010 20:32:01;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/RAPPRO_REMBOURS;imapora2;vp_mof;21-07-2010 20:45:26;21-07-2010 20:49:11;0:03:45;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/ANNULE_REMBOURS;imapora2;vp_mof;21-07-2010 20:49:12;21-07-2010 20:49:16;0:00:04;TERMINE
MIDDLE_OFFICE/MOF_C16_REMBOURS/purge_trace_remb;imapora2;vp_mof;21-07-2010 20:49:16;21-07-2010 20:49:21;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/tiers_c16;smapx251;vp_ares;21-07-2010 20:49:22;21-07-2010 20:55:36;0:06:14;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/insert_tiers;imapora2;vp_ares;21-07-2010 20:55:37;21-07-2010 20:56:28;0:00:51;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/MAJ_FIN;smapx251;vp_ares;21-07-2010 20:56:28;21-07-2010 20:56:53;0:00:25;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/envoi_rejets;smapx251;vp_ares;21-07-2010 20:56:53;21-07-2010 20:56:58;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_TIERS_C16+/PURGE_TIERS_ARC;smapx251;vp_ares;21-07-2010 20:56:58;21-07-2010 20:57:03;0:00:05;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/MOF_ARCOLE;smapx251;vp_ares;21-07-2010 20:57:03;21-07-2010 21:18:42;0:21:39;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_1/CONTROL_ECRITURE;imapora2;vp_ares;21-07-2010 21:18:42;21-07-2010 21:19:47;0:01:05;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/mof_deflag_c16;smapx251;vp_ares;21-07-2010 21:19:47;21-07-2010 21:23:39;0:03:52;TERMINE
MIDDLE_OFFICE/MOF_PREFAC_REGUL/prefac_regul;imapora2;vp_ares;21-07-2010 21:23:39;21-07-2010 21:49:49;0:26:10;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/MOF_ARCOLE;smapx251;vp_ares;21-07-2010 21:49:50;21-07-2010 22:08:16;0:18:26;TERMINE
MIDDLE_OFFICE/ARC_MOF_ARCOLE_2/CONTROL_ECRITURE;imapora2;vp_ares;21-07-2010 22:08:16;21-07-2010 22:09:06;0:00:50;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/CTRL_EQUILIBRE;imapora2;vp_ares;21-07-2010 22:09:07;21-07-2010 22:09:46;0:00:39;TERMINE
MIDDLE_OFFICE/MOF_CTRL_EQUILIB/INSERT_ECRITURE;imapora2;vp_ares;21-07-2010 22:09:46;21-07-2010 22:14:58;0:05:12;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/GENERE_RETOUR;imapora2;vp_mof;21-07-2010 22:14:59;21-07-2010 22:23:16;0:08:17;TERMINE
MIDDLE_OFFICE/MOF_C16TOBASEWAR/PURGE_FICHIER;imapora2;vp_mof;21-07-2010 22:23:16;21-07-2010 22:23:21;0:00:05;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/RETOUR_FACTURE;smapx251;vp_ares;21-07-2010 22:14:59;21-07-2010 22:18:50;0:03:51;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_FACT/MOF_MV_FICH;hmapora2;vp_ares;21-07-2010 22:18:50;21-07-2010 22:18:55;0:00:05;TERMINE
MIDDLE_OFFICE/RETOUR_FACTURE/Integ_Prestation;KMAFPSIB2;vp_mof;21-07-2010 22:18:56;21-07-2010 22:20:21;0:01:25;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/RETOUR_REGLEMENT;smapx251;vp_ares;21-07-2010 22:18:56;21-07-2010 22:29:47;0:10:51;TERMINE
MIDDLE_OFFICE/MOF_RETOUR_REG/MOF_MV_FICH;hmapora2;vp_ares;21-07-2010 22:29:48;21-07-2010 22:29:52;0:00:04;TERMINE
MIDDLE_OFFICE/RETOUR_REGLEMENT/Integration_regl;KMAFPSIB2;vp_aida;21-07-2010 22:29:53;21-07-2010 22:37:38;0:07:45;TERMINE
MIDDLE_OFFICE/SAUVE_RETOUR/sauve_retass;hmapora2;vp_aida;21-07-2010 22:37:39;21-07-2010 22:37:43;0:00:04;TERMINE
